date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:02	110375/110375	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:01%20GMT	https://www.communitysafetyproject.org/	./www.communitysafetyproject.org/index.html	(from )
21:59:02	100694/100694	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202025%2004:59:02%20GMT	https://www.communitysafetyproject.org/POST	./www.communitysafetyproject.org/POST.0.delayed	(from https://www.communitysafetyproject.org/)
21:59:04	110251/110251	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:03%20GMT	https://www.communitysafetyproject.org/home	./www.communitysafetyproject.org/home.html	(from https://www.communitysafetyproject.org/)
21:59:05	113691/113691	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:04%20GMT	https://www.communitysafetyproject.org/about-us	./www.communitysafetyproject.org/about-us.html	(from https://www.communitysafetyproject.org/)
21:59:06	129610/129610	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:05%20GMT	https://www.communitysafetyproject.org/about-us/services-we-provide	./www.communitysafetyproject.org/about-us/services-we-provide.html	(from https://www.communitysafetyproject.org/)
21:59:07	111492/111492	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:06%20GMT	https://www.communitysafetyproject.org/about-us/mission-statement	./www.communitysafetyproject.org/about-us/mission-statement.html	(from https://www.communitysafetyproject.org/)
21:59:08	122277/122277	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:07%20GMT	https://www.communitysafetyproject.org/about-us/core-values	./www.communitysafetyproject.org/about-us/core-values.html	(from https://www.communitysafetyproject.org/)
21:59:09	159312/159312	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:08%20GMT	https://www.communitysafetyproject.org/about-us/meet-the-team	./www.communitysafetyproject.org/about-us/meet-the-team.html	(from https://www.communitysafetyproject.org/)
21:59:10	124145/124145	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:09%20GMT	https://www.communitysafetyproject.org/about-us/partnerships	./www.communitysafetyproject.org/about-us/partnerships.html	(from https://www.communitysafetyproject.org/)
21:59:11	123124/123124	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:10%20GMT	https://www.communitysafetyproject.org/about-us/roadmap	./www.communitysafetyproject.org/about-us/roadmap.html	(from https://www.communitysafetyproject.org/)
21:59:12	110193/110193	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:11%20GMT	https://www.communitysafetyproject.org/contact-us	./www.communitysafetyproject.org/contact-us.html	(from https://www.communitysafetyproject.org/)
21:59:13	112644/112644	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:12%20GMT	https://www.communitysafetyproject.org/contact-us/general	./www.communitysafetyproject.org/contact-us/general.html	(from https://www.communitysafetyproject.org/)
21:59:14	143493/143493	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:13%20GMT	https://www.communitysafetyproject.org/contact-us/ticketing-system	./www.communitysafetyproject.org/contact-us/ticketing-system.html	(from https://www.communitysafetyproject.org/)
21:59:15	105723/105723	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:14%20GMT	https://www.communitysafetyproject.org/contact-us/discord-server	./www.communitysafetyproject.org/contact-us/discord-server.html	(from https://www.communitysafetyproject.org/)
21:59:16	103500/103500	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:15%20GMT	https://www.communitysafetyproject.org/resource-directory	./www.communitysafetyproject.org/resource-directory.html	(from https://www.communitysafetyproject.org/)
21:59:17	103738/103738	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:16%20GMT	https://www.communitysafetyproject.org/restricted-player-register	./www.communitysafetyproject.org/restricted-player-register.html	(from https://www.communitysafetyproject.org/)
21:59:18	117828/117828	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:17%20GMT	https://www.communitysafetyproject.org/documents	./www.communitysafetyproject.org/documents.html	(from https://www.communitysafetyproject.org/)
21:59:19	209811/209811	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:18%20GMT	https://www.communitysafetyproject.org/documents/public-code-of-conduct	./www.communitysafetyproject.org/documents/public-code-of-conduct.html	(from https://www.communitysafetyproject.org/)
21:59:20	116574/116574	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2004:59:19%20GMT	https://www.communitysafetyproject.org/documents/staff-code-of-conduct	./www.communitysafetyproject.org/documents/staff-code-of-conduct.html	(from https://www.communitysafetyproject.org/)
